	pielou_evenness
B1	0.8416601482047937
B10	0.492262042074004
B103	0.7215751746262554
B104	0.7572385266119597
B105	0.6263478156533319
B106	0.7977896529828267
B11	0.5316491031662529
B117	0.6766243564655905
B118	0.7020166716719635
B119	0.5254280338719736
B12	0.484756869085908
B120	0.7391168926850924
B126	0.8761659359444438
B129	0.8848535265067357
B13	0.27538967002748027
B130	0.8926660802014798
B133	0.9004518450836221
B134	0.8729505527489204
B135	0.8343698621962253
B136	0.8598406213231986
B14	0.4318336042762774
B141	0.8352791059602088
B142	0.8139286138236984
B143	0.823321690891818
B144	0.6867931599646098
B145	0.8918415782818873
B146	0.8834902712990286
B15	0.22600205801548845
B151	0.9055502698660964
B152	0.9051692516074215
B157	0.840408765630814
B158	0.8725115489499796
B16	0.645107075675792
B163	0.9023871151751707
B164	0.8871049858672098
B169	0.8561831786791585
B17	0.6682118131826711
B170	0.875906913016521
B18	0.758299337070621
B19	0.43808345604727866
B2	0.7647073733524068
B20	0.7587026781751961
B21	0.769756382598451
B22	0.7945189481785061
B23	0.7479008807098303
B24	0.8046019545992025
B26	0.8202344858174919
B27	0.845615475722028
B28	0.876897670700912
B29	0.5304549127205557
B3	0.2719117109813524
B30	0.7024558933421949
B31	0.846107673509681
B32	0.8207017115140632
B33	0.43788957113819527
B34	0.7915560681400066
B35	0.8447920913191254
B36	0.8230540535904168
B37	0.9143036196226546
B38	0.838941950178598
B39	0.8401275416947463
B4	0.3210788957552287
B41	0.8045534509590915
B42	0.7414314909346589
B43	0.8887591506879741
B44	0.8278010602872224
B45	0.42180966839491596
B46	0.6828733709040086
B47	0.8465482169727606
B48	0.8081788052933707
B49	0.8072782610652448
B5	0.5873484727201667
B50	0.8244955406904279
B51	0.8086735307002458
B52	0.81644670753363
B53	0.8329834901520791
B54	0.8011540152144012
B55	0.857750796040209
B56	0.8257914360030646
B57	0.7314572599212112
B58	0.8043001048892662
B59	0.8621221585283158
B6	0.4691740716264008
B60	0.8086513901890214
B61	0.5997037255146977
B62	0.5263577195475093
B63	0.8200661295789735
B64	0.8192863607837337
B65	0.7556329267976747
B66	0.7561172456715832
B67	0.6950215657141414
B68	0.7228915736645839
B69	0.7738717135044846
B7	0.5181752563613837
B70	0.8029786612239374
B71	0.7949441045581916
B72	0.7314826348420594
B8	0.7622094389956693
B9	0.5798168662876235
