"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"f049fe21efeff6549689ed43b4f96b7b","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__Iainarchaeales","g__Candidatus_Iainarchaeum","s__uncultured_archaeon"
"0fa9303fbe258da8dc8c297260a0b9df","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__Iainarchaeales","g__Candidatus_Iainarchaeum","d__Archaea"
"d370d3a4d1d67bc91456e7eb9478ec12","d__Archaea","p__Iainarchaeota","c__Iainarchaeia","o__Iainarchaeales","f__Iainarchaeales","g__Candidatus_Iainarchaeum","d__Archaea"
"f83ad57072235a6e4403efc7c066f9b8","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__Woesearchaeales","g__Woesearchaeales","s__uncultured_euryarchaeote"
"1a4150c00227e6d9c2eef8bb07d31c0a","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__Woesearchaeales","g__Woesearchaeales","d__Archaea"
"f8f8a2690057cc6a11adb56330e6aade","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__Woesearchaeales","g__Woesearchaeales","s__uncultured_euryarchaeote"
"ae9e2bb94564193b6dcc0806228cd0b5","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__Woesearchaeales","g__Woesearchaeales","s__uncultured_euryarchaeote"
"7ff74416f6245ea4646f73c25de0dfa7","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__Woesearchaeales","g__Woesearchaeales","s__uncultured_euryarchaeote"
"16f60261b4e42f06fc61544f66ddc4f2","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__Woesearchaeales","g__Woesearchaeales","s__uncultured_euryarchaeote"
"ac4e0df84e159ec4ab735963036e164b","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","s__Candidatus_Staskawiczbacteria"
"ebbb0118ecf3c2799a78c886d46d83ac","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","d__Archaea"
"bc01c7b7f28618ae61c3bc3250cc55dc","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","d__Archaea"
"80a1ac1e70a6784b46232d1c00c1a02c","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia"
"07b5a14b19971a2bbec066d1518c1a92","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__Woesearchaeales","g__Woesearchaeales","s__uncultured_bacterium"
"6b5152c7cb6182444f5a778626f062ff","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__Woesearchaeales","g__Woesearchaeales","s__uncultured_bacterium"
"01074d86e8c060d333c0b2a0eaff7ef4","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","g__GW2011_GWC1_47_15","s__uncultured_archaeon"
"dfa2ec96106931b0a18d5007b81caccc","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","s__uncultured_euryarchaeote"
"47c39d5b905bd2af02d8c004d0b7a9fc","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia"
"23ed4b2f3f8ed8fc0f5fec1c571aa56a","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","s__uncultured_euryarchaeote"
"23c29b97d3e19735d8fcb7e2436065e1","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","d__Archaea"
"683fb34df470f0e002369a86c76f1a0c","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","g__GW2011_GWC1_47_15","s__uncultured_archaeon"
"c47f9548c8ae6102260bbd21b9a4b306","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","g__GW2011_GWC1_47_15","s__uncultured_archaeon"
"7d3433aa799679c2cb8aac0b531460fa","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","g__GW2011_GWC1_47_15","s__uncultured_archaeon"
"2fa73908394b27772d0258689c2add28","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","g__GW2011_GWC1_47_15","s__uncultured_archaeon"
"fc193775e09853243b88caf747e5db7a","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","g__GW2011_GWC1_47_15","s__uncultured_archaeon"
"9bdc35584872907a1e316c78fed4e2a8","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","g__GW2011_GWC1_47_15","s__uncultured_archaeon"
"ac86eff8546c3f6388795a075172eba8","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","g__GW2011_GWC1_47_15","s__uncultured_archaeon"
"7d261c5b2ba7305762c3f408b223eb77","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","g__GW2011_GWC1_47_15","s__uncultured_archaeon"
"d8ba010c8cdbd2439883fb742146c206","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","g__GW2011_GWC1_47_15","s__uncultured_archaeon"
"de8cc8f7cd0ee39e9faedee458b70948","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","g__GW2011_GWC1_47_15","s__uncultured_archaeon"
"d8b5bc2ae54ff989a1e4c7b2b05c19af","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","g__GW2011_GWC1_47_15","s__uncultured_archaeon"
"ad12887b03a4ba5c65098f62357e8e88","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","d__Archaea"
"70874f070de6e86923a08da26e9ab300","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","s__uncultured_archaeon"
"2846fe942f1b820507b5ab235668a269","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","s__uncultured_euryarchaeote"
"796ad25b08851f52abd11c66e07037a4","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","s__uncultured_archaeon"
"e4491dc29c569d03c596730d72408210","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","s__Candidatus_Diapherotrites"
"1ee86fe7f14d87af027cd4869f7f1303","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","s__Candidatus_Diapherotrites"
"5ba7ae49387ace1c047f5b13be6fa54e","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","d__Archaea"
"866ce0555a9080f68c4e86d017236da2","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","s__Candidatus_Pacearchaeota"
"383c29e009f0f5709f8a5923c8e37b42","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","d__Archaea"
"513ae06fbd5f0cbf3f39cabb829118d0","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","d__Archaea"
"24a5a787599d918497362d4ad48f9b58","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","s__Candidatus_Diapherotrites"
"61c2d7930fccad8449615dd6be6c7c05","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","s__Candidatus_Pacearchaeota"
"5162f549b821290c49799df3d1c9d747","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","s__Candidatus_Pacearchaeota"
"1f9506daefb732405fa9fdf3b5f570b1","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","s__Candidatus_Pacearchaeota"
