"","x"
"B1",0
"B103",0
"B105",0
"B11",0
"B117",0
"B119",0
"B129",0
"B13",0
"B133",0
"B135",0
"B143",0
"B145",0
"B15",0.933318900194847
"B151",0
"B157",0
"B163",0
"B169",0
"B17",0
"B19",0
"B21",0
"B23",0
"B27",0.131794760142245
"B29",0.606595164173488
"B3",0
"B31",0.18609865470852
"B33",0.700095933879418
"B35",0.266190431431525
"B37",0
"B39",0.0392118863049096
"B41",0.132426153335546
"B43",0.0452027231884457
"B45",0.729814792398015
"B47",0.263964546209953
"B49",0
"B5",0
"B51",0
"B53",0.00731317132627409
"B55",0
"B57",0
"B59",0
"B61",0
"B63",0
"B65",0
"B67",0
"B69",0
"B7",0
"B72",0
"B9",0
